source,type,score,scored_by,status,episodes,members
manga,tv,8.03,283537,finished_airing,24.0,569281
original,movie,7.89,503205,finished_airing,1.0,834042
manga,tv,7.91,431186,finished_airing,12.0,826305
manga,tv,8.05,260982,finished_airing,12.0,514996
manga,tv,7.84,823347,finished_airing,51.0,1576277
manga,tv,8.02,281855,finished_airing,103.0,677000
light_novel,tv,8.09,231118,finished_airing,4.0,407487
manga,tv,8.54,130465,finished_airing,101.0,286859
original,tv,8.06,245789,finished_airing,12.0,524003
novel,movie,8.04,258398,finished_airing,1.0,516264
light_novel,tv,8.09,223425,finished_airing,13.0,472521
manga,movie,7.97,319167,finished_airing,1.0,544891
original,tv,8.02,266962,finished_airing,12.0,528496
light_novel,movie,8.52,128791,finished_airing,1.0,232431
original,movie,8.26,160751,finished_airing,1.0,324222
manga,tv,8.27,155801,finished_airing,26.0,341781
manga,tv,7.79,1805039,finished_airing,12.0,2721331
manga,tv,8.18,178477,finished_airing,25.0,446772
original,movie,7.92,365440,finished_airing,1.0,549957
4_koma_manga,tv,7.85,558526,finished_airing,13.0,1021915
light_novel,tv,7.93,330617,finished_airing,4.0,539857
manga,tv,7.89,396745,finished_airing,12.0,702181
manga,tv,8.7,114746,finished_airing,10.0,290308
novel,tv,8.39,131810,finished_airing,23.0,288254
light_novel,tv,8.05,225460,finished_airing,24.0,531984
visual_novel,tv,7.89,385980,finished_airing,26.0,785406
manga,tv,7.82,668121,finished_airing,12.0,1320389
manga,tv,8.55,121811,finished_airing,13.0,241355
original,ona,8.71,113348,finished_airing,11.0,313993
manga,tv,7.98,263413,finished_airing,12.0,456847
manga,tv,7.84,510151,finished_airing,12.0,818658
manga,tv,8.06,211584,finished_airing,12.0,442200
manga,tv,8.07,207190,finished_airing,10.0,391014
manga,movie,8.29,138849,finished_airing,1.0,258786
original,tv,8.28,139513,finished_airing,24.0,434335
manga,tv,8.57,114507,finished_airing,13.0,245221
original,movie,8.27,139759,finished_airing,1.0,279998
manga,tv,8.29,137302,finished_airing,26.0,329820
manga,movie,8.11,181072,finished_airing,1.0,316886
original,tv,7.97,250853,finished_airing,26.0,588319
light_novel,tv,7.98,245264,finished_airing,12.0,471469
4_koma_manga,tv,7.83,494022,finished_airing,12.0,902089
light_novel,ova,8.03,216064,finished_airing,1.0,355125
manga,tv,8.38,126509,finished_airing,25.0,228896
manga,tv,8.16,165127,finished_airing,11.0,396475
visual_novel,special,8.25,139892,finished_airing,1.0,250992
light_novel,tv,7.83,468526,finished_airing,14.0,895044
manga,movie,8.14,170912,finished_airing,1.0,268760
